;grid=15x15:extent=(31.5000,-31.5000,-31.5000,31.5000):X_lbl=p_y:Y_lbl=p_x
    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,  LaserRf,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    PRESS,   lvdt11,   lvdt12,   lvdt21,   lvdt22,   lvdt31,   lvdt32,   lvdt41,   lvdt42,   CTEMPB,  X3_ROI1,  X3_ROI2,  X3_ROI3,  X3_ROI4,  X3_ROI5,  X3_ROI6,  X3_ROI7,  X3_ROI8
   76,        27,        -9,   60.000,  4921596, 15246962,    11955,        0, 40570085,        0,        0,        0, 64.094202,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14238.12,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   341386,    23664,   191284,   184503,        0,        0,        0,        0
   77,      22.5,        -9,   60.000,  4899104, 15166943,     3105,        0, 40605707,        0,        0,        0, 63.84803,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14304.033,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   337682,    24959,   187850,   181492,        0,        0,        0,        0
   78,        18,        -9,   60.000,  4886413, 15030164,     5025,        0, 40635351,        0,        0,        0, 63.924008,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14369.973,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   329222,    26146,   180888,   174835,        0,        0,        0,        0
   79,      13.5,        -9,   60.000,  4932116, 15295346,     9596,        0, 40660095,        0,        0,        0, 64.062648,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14436.003,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   330867,    27670,   179542,   173480,        0,        0,        0,        0
   80,         9,        -9,   60.000,  4925931, 15293279,     6980,        0,        0,        0,        0,        0, 64.060451,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14501.945,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   325768,    28816,   174077,   168186,        0,        0,        0,        0
   81,       4.5,        -9,   60.000,  4921533, 15153813,     3773,        0,        0,        0,        0,        0, 64.059075,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14567.805,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   317713,    29974,   166431,   160781,        0,        0,        0,        0
   82,         0,        -9,   60.000,  4907269, 15102660,     5248,        0,        0,        0,        0,        0, 64.047531,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14633.86,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   309315,    30725,   159167,   153924,        0,        0,        0,        0
   83,      -4.5,        -9,   60.000,  4925022, 15222565,     8659,        0,        0,        0,        0,        0, 63.849514,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14699.65,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   303978,    32171,   152440,   147301,        0,        0,        0,        0
   84,        -9,        -9,   60.000,  4927510, 15229151,    12211,        0,        0,        0,        0,        0, 64.056244,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14765.739,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   294881,    32957,   143974,   138894,        0,        0,        0,        0
   85,     -13.5,        -9,   60.000,  4918348, 15202392,     6456,        0,        0,        0,        0,        0, 63.899471,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14831.425,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   285395,    34000,   135700,   131084,        0,        0,        0,        0
   86,       -18,        -9,   60.000,  4910515, 15234980,     7593,        0,        0,        0,        0,        0, 63.893412,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14897.308,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   276886,    34930,   126926,   122596,        0,        0,        0,        0
   87,     -22.5,        -9,   60.000,  4904723, 15211430,     4704,        0,        0,        0,        0,        0, 64.043496,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14963.297,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   266101,    34993,   118696,   114659,        0,        0,        0,        0
   88,       -27,        -9,   60.000,  4954078, 15321359,     4624,        0,        0,        0,        0,        0, 63.888405,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15029.006,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   257901,    35393,   110694,   106860,        0,        0,        0,        0
   89,     -31.5,        -9,   60.000,  4947007, 15291124,     2154,        0,        0,        0,        0,        0, 64.144074,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15095.152,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   243329,    34821,    99705,    96168,        0,        0,        0,        0
   90,      31.5,      -4.5,   60.000,  4938814, 15270914,     4335,        0,        0,        0,        0,        0, 64.066237,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15167.198,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   350595,    22213,   201183,   194345,        0,        0,        0,        0
   91,        27,      -4.5,   60.000,  4935269, 15221760,    10889,        0,        0,        0,        0,        0, 63.888975,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15232.935,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   351429,    23461,   201004,   194498,        0,        0,        0,        0
   92,      22.5,      -4.5,   60.000,  4946507, 15282759,    10183,        0,        0,        0,        0,        0, 63.899605,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15298.704,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   349219,    25114,   197093,   190441,        0,        0,        0,        0
   93,        18,      -4.5,   60.000,  4948850, 15319265,     7502,        0, 40609946,        0,        0,        0, 64.056979,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15364.746,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   348559,    26808,   194742,   188202,        0,        0,        0,        0
   94,      13.5,      -4.5,   60.000,  4934903, 15289398,    11547,        0, 40622520,        0,        0,        0, 63.800969,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15430.433,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   343579,    28428,   189244,   183008,        0,        0,        0,        0
   95,         9,      -4.5,   60.000,  4910355, 15248950,    16500,        0,        0,        0,        0,        0, 64.125942,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15496.514,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   336433,    29464,   182478,   176319,        0,        0,        0,        0
   96,       4.5,      -4.5,   60.000,  4885540, 15223907,    12769,        0,        0,        0,        0,        0, 64.043538,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15562.423,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   327205,    30759,   174039,   168276,        0,        0,        0,        0
   97,         0,      -4.5,   60.000,  4906094, 15262980,    13868,        0,        0,        0,        0,        0, 64.11312,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15628.366,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   319463,    31609,   166159,   160440,        0,        0,        0,        0
   98,      -4.5,      -4.5,   60.000,  4916607, 15259901,     9220,        0,        0,        0,        0,        0, 63.862562,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15694.276,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   310793,    32907,   157821,   152391,        0,        0,        0,        0
   99,        -9,      -4.5,   60.000,  4917530, 15235288,     9415,        0,        0,        0,        0,        0, 64.040278,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15760.316,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   304612,    34386,   150833,   145841,        0,        0,        0,        0
  100,     -13.5,      -4.5,   60.000,  4898238, 15198241,     8959,        0, 40688607,        0,        0,        0, 63.849802,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15825.999,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   292397,    34627,   140651,   135986,        0,        0,        0,        0
  101,       -18,      -4.5,   60.000,  4918084, 15255355,    10190,        0,        0,        0,        0,        0, 63.953812,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15891.985,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   284141,    35846,   132799,   128343,        0,        0,        0,        0
  102,     -22.5,      -4.5,   60.000,  4944174, 15300410,     5142,        0,        0,        0,        0,        0, 63.988985,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 15957.857,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   273428,    35976,   123702,   119356,        0,        0,        0,        0
  103,       -27,      -4.5,   60.000,  4937191, 15282849,     1532,        0,        0,        0,        0,        0, 63.880182,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16023.611,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   262354,    36222,   113903,   109883,        0,        0,        0,        0
  104,     -31.5,      -4.5,   60.000,  4929504, 15239605,     1323,        0,        0,        0,        0,        0, 63.926676,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16089.545,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   249681,    36026,   103543,    99928,        0,        0,        0,        0
  105,      31.5,         0,   60.000,  4912392, 15211269,    10389,        0,        0,        0,        0,        0, 63.892172,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16161.578,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   359010,    21697,   208822,   201883,        0,        0,        0,        0
  106,        27,         0,   60.000,  4951229, 15293886,     5300,        0, 41500511,        0,        0,        0, 63.88724,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16227.46,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   362581,    23933,   208849,   201807,        0,        0,        0,        0
  107,      22.5,         0,   60.000,  4936107, 15294248,     2945,        0,        0,        0,        0,        0, 63.831214,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16293.244,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   359577,    25195,   205881,   198927,        0,        0,        0,        0
  108,        18,         0,   60.000,  4927696, 15282988,     6843,        0,        0,        0,        0,        0, 63.965139,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16359.241,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   354486,    26877,   199724,   192908,        0,        0,        0,        0
  109,      13.5,         0,   60.000,  4929756, 15225030,    14552,        0, 40533895,        0,        0,        0, 63.97901,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16425.129,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   347259,    28124,   193347,   186768,        0,        0,        0,        0
  110,         9,         0,   60.000,  4927562, 15240981,    16161,        0,        0,        0,        0,        0, 63.889934,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16490.914,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   343239,    30124,   187987,   181800,        0,        0,        0,        0
  111,       4.5,         0,   60.000,  4950943, 15325069,    11962,        0,        0,        0,        0,        0, 63.913833,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1,  16556.8,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   336164,    31064,   180034,   174090,        0,        0,        0,        0
  112,         0,         0,   60.000,  4946574, 15261235,     9249,        0,        0,        0,        0,        0, 63.895836,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16622.627,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   325596,    32259,   171403,   165529,        0,        0,        0,        0
  113,      -4.5,         0,   60.000,  4935754, 15226863,     5898,        0,        0,        0,        0,        0, 64.055543,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16688.672,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   316792,    33235,   162988,   157561,        0,        0,        0,        0
  114,        -9,         0,   60.000,  4923461, 15198462,    12870,        0,        0,        0,        0,        0, 63.902899,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16754.467,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   307980,    34270,   154399,   149220,        0,        0,        0,        0
  115,     -13.5,         0,   60.000,  4960476, 15303714,    10771,        0,        0,        0,        0,        0, 63.875835,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1,  16820.2,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   297713,    35037,   144893,   139954,        0,        0,        0,        0
  116,       -18,         0,   60.000,  4949303, 15267117,     9907,        0, 40289389,        0,        0,        0, 64.128644,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16886.315,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   286715,    35508,   134357,   129696,        0,        0,        0,        0
  117,     -22.5,         0,   60.000,  4922244, 15228704,    12584,        0,        0,        0,        0,        0, 64.066569,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 16952.251,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   275673,    36228,   124533,   120430,        0,        0,        0,        0
  118,       -27,         0,   60.000,  4889247, 15182050,    19267,        0,        0,        0,        0,        0, 63.889341,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17017.928,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   263195,    36306,   114675,   110720,        0,        0,        0,        0
  119,     -31.5,         0,   60.000,  4893605, 15196665,    19494,        0,        0,        0,        0,        0, 63.903018,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17083.708,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   251178,    36384,   105392,   101856,        0,        0,        0,        0
  120,      31.5,       4.5,   60.000,  4929727, 15307910,    17961,        0,        0,        0,        0,        0, 64.038494,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17155.907,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   369746,    21689,   217492,   210161,        0,        0,        0,        0
  121,        27,       4.5,   60.000,  4914547, 15261909,     9245,        0,        0,        0,        0,        0, 63.994192,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17221.851,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   366881,    23530,   213874,   206733,        0,        0,        0,        0
  122,      22.5,       4.5,   60.000,  4903477, 15237499,     3411,        0,        0,        0,        0,        0, 63.887242,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17287.609,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   363649,    24910,   209995,   203125,        0,        0,        0,        0
  123,        18,       4.5,   60.000,  4903707, 15217443,     2302,        0,        0,        0,        0,        0, 63.90606,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17353.512,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   358911,    26514,   204766,   197823,        0,        0,        0,        0
  124,      13.5,       4.5,   60.000,  4970112, 15293024,     7459,        0,        0,        0,        0,        0, 63.888241,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17419.335,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   355823,    28219,   199939,   193182,        0,        0,        0,        0
  125,         9,       4.5,   60.000,  4971094, 15264520,      377,        0,        0,        0,        0,        0, 64.047886,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17485.36,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   346118,    29296,   191278,   185012,        0,        0,        0,        0
  126,       4.5,       4.5,   60.000,  4952968, 15274627,     1736,        0,        0,        0,        0,        0, 64.064468,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17551.26,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   340494,    31144,   184303,   178074,        0,        0,        0,        0
  127,         0,       4.5,   60.000,  4943881, 15212776,      106,        0,        0,        0,        0,        0, 63.910622,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17617.27,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   332275,    32510,   176382,   170504,        0,        0,        0,        0
  128,      -4.5,       4.5,   60.000,  4963665, 15217697,      499,        0,        0,        0,        0,        0, 64.045828,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17683.256,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   322109,    33713,   167188,   161665,        0,        0,        0,        0
  129,        -9,       4.5,   60.000,  4986073, 15262305,     1423,        0,        0,        0,        0,        0, 64.033448,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17749.134,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   310608,    34496,   156666,   151290,        0,        0,        0,        0
  130,     -13.5,       4.5,   60.000,  4980972, 15253319,     1117,        0,        0,        0,        0,        0, 63.888351,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17814.84,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   300552,    35667,   147298,   142297,        0,        0,        0,        0
  131,       -18,       4.5,   60.000,  4963904, 15236438,      233,        0,        0,        0,        0,        0, 63.899235,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17880.726,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   290328,    36244,   138100,   133510,        0,        0,        0,        0
  132,     -22.5,       4.5,   60.000,  4958055, 15180875,      308,        0,        0,        0,        0,        0, 64.043477,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 17946.707,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   275077,    36031,   125957,   121719,        0,        0,        0,        0
  133,       -27,       4.5,   60.000,  4996686, 15329455,     2436,        0,        0,        0,        0,        0, 63.948777,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 18012.488,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   270078,    37501,   118914,   114870,        0,        0,        0,        0
  134,     -31.5,       4.5,   60.000,  4987393, 15303375,     1209,        0,        0,        0,        0,        0, 64.048632,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 18078.442,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   256639,    37118,   107829,   104008,        0,        0,        0,        0
  135,      31.5,         9,   60.000,  4959328, 15248491,     1065,        0,        0,        0,        0,        0, 64.122729,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 18150.602,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   378052,    21506,   223699,   216284,        0,        0,        0,        0
  136,        27,         9,   60.000,  4934177, 15214122,      620,        0,        0,        0,        0,        0, 63.92392,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 18216.397,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   373435,    23363,   219860,   212620,        0,        0,        0,        0
