;grid=15x15:extent=(31.5000,-31.5000,-31.5000,31.5000):X_lbl=p_y:Y_lbl=p_x
    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,  LaserRf,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    PRESS,   lvdt11,   lvdt12,   lvdt21,   lvdt22,   lvdt31,   lvdt32,   lvdt41,   lvdt42,   CTEMPB,  X3_ROI1,  X3_ROI2,  X3_ROI3,  X3_ROI4,  X3_ROI5,  X3_ROI6,  X3_ROI7,  X3_ROI8
   25,     -13.5,       -27,   60.000,  4912627, 15158967,    10985,        0, 40643299,        0,        0,        0, 64.053055,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11583.113,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   250230,    28396,   110073,   106177,        0,        0,        0,        0
   26,       -18,       -27,   60.000,  4903422, 15167370,     9087,        0, 40596394,        0,        0,        0, 64.007969,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11648.939,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   240751,    29037,   102069,    98317,        0,        0,        0,        0
   32,      22.5,     -22.5,   60.000,  4923667, 15290236,     1024,        0, 40619192,        0,        0,        0, 63.861212,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11718.653,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   304538,    24306,   159401,   153904,        0,        0,        0,        0
   33,        18,     -22.5,   60.000,  4910863, 15214847,     1230,        0, 40633323,        0,        0,        0,  63.8711,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11784.36,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   301512,    25218,   156695,   151422,        0,        0,        0,        0
   34,      13.5,     -22.5,   60.000,  4910096, 15205904,    11413,        0, 40713212,        0,        0,        0, 64.04131,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11850.283,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   298532,    26321,   152809,   147538,        0,        0,        0,        0
   35,         9,     -22.5,   60.000,  4917999, 15210602,    12372,        0, 40581217,        0,        0,        0, 64.042795,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11916.123,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   293988,    27430,   148635,   143620,        0,        0,        0,        0
   36,       4.5,     -22.5,   60.000,  4914297, 15260789,    13414,        0, 40549013,        0,        0,        0, 64.041335,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11982.005,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   290866,    28682,   144186,   139206,        0,        0,        0,        0
   37,         0,     -22.5,   60.000,  4913151, 15316331,    12307,        0, 40554131,        0,        0,        0, 64.081047,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12047.896,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   284707,    29263,   137935,   133145,        0,        0,        0,        0
   38,      -4.5,     -22.5,   60.000,  4894669, 15268023,     2487,        0, 40557911,        0,        0,        0, 64.027143,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1,  12113.8,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   277813,    30431,   131224,   126732,        0,        0,        0,        0
   39,        -9,     -22.5,   60.000,  4898699, 15237433,      714,        0, 40549679,        0,        0,        0, 64.033945,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12180.011,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   269028,    30772,   124184,   119793,        0,        0,        0,        0
